step,theta,dtheta
0,-0.001200,-0.060000
1,-0.002405,-0.060235
2,-0.003619,-0.060707
3,-0.004847,-0.061417
4,-0.006094,-0.062368
5,-0.007366,-0.063564
6,-0.008666,-0.065009
7,-0.010000,-0.066709
8,-0.011374,-0.068671
9,-0.012792,-0.070903
10,-0.014260,-0.073412
11,-0.015784,-0.076210
12,-0.017370,-0.079307
13,-0.019025,-0.082715
14,-0.020754,-0.086447
15,-0.022564,-0.090519
16,-0.024463,-0.094945
17,-0.026458,-0.099744
18,-0.028557,-0.104935
19,-0.030767,-0.110537
20,-0.033099,-0.116572
21,-0.035560,-0.123065
22,-0.038161,-0.130041
23,-0.040911,-0.137526
24,-0.043823,-0.145550
25,-0.046906,-0.154146
26,-0.050172,-0.163345
27,-0.053636,-0.173185
28,-0.057310,-0.183703
29,-0.061209,-0.194941
30,-0.065348,-0.206943
31,-0.069743,-0.219755
32,-0.074411,-0.233428
33,-0.079372,-0.248014
34,-0.084643,-0.263570
35,-0.090246,-0.280157
36,-0.096203,-0.297839
37,-0.102537,-0.316685
38,-0.109272,-0.336768
39,-0.116436,-0.358165
40,-0.124055,-0.380958
41,-0.132159,-0.405235
42,-0.140781,-0.431089
43,-0.149954,-0.458619
44,-0.159712,-0.487930
45,-0.170095,-0.519132
46,-0.181142,-0.552344
47,-0.192895,-0.587690
48,-0.205401,-0.625302
49,-0.218708,-0.665319
50,-0.232866,-0.707888
51,-0.247929,-0.753165
52,-0.263955,-0.801311
53,-0.281005,-0.852500
54,-0.299143,-0.906911
55,-0.317238,-0.904731
56,-0.335356,-0.905934
57,-0.353567,-0.910505
58,-0.373135,-0.978438
59,-0.394135,-1.049961
60,-0.416641,-1.125303
61,-0.440735,-1.204704
62,-0.466503,-1.288403
63,-0.494035,-1.376647
64,-0.523429,-1.469682
65,-0.554784,-1.567753
66,-0.588206,-1.671103
67,-0.623806,-1.779969
68,-0.661697,-1.894575
69,-0.702000,-2.015131
70,-0.743636,-2.081827
71,-0.786729,-2.154648
72,-0.831401,-2.233567
73,-0.877771,-2.318534
74,-0.925961,-2.409474
75,-0.976086,-2.506277
76,-1.028262,-2.608792
77,-1.082599,-2.716818
78,-1.141601,-2.950098
79,-1.205371,-3.188503
80,-1.274006,-3.431748
81,-1.347593,-3.679370
82,-1.423807,-3.810703
83,-1.502703,-3.944788
84,-1.584314,-4.080533
85,-1.668648,-4.216715
86,-1.755687,-4.351976
87,-1.847784,-4.604833
88,-1.943655,-4.793554
89,-2.043181,-4.976274
90,-2.146200,-5.150987
91,-2.252512,-5.315593
92,-2.361871,-5.467941
93,-2.473989,-5.605886
94,-2.587336,-5.667355
95,-2.701548,-5.710617
96,-2.816232,-5.734194
97,-2.932170,-5.796910
98,-3.048924,-5.837699
99,3.117144,-5.855855
100,3.000123,-5.851058
101,2.883655,-5.823394
102,2.768188,-5.773346
103,2.652952,-5.761775
104,2.538359,-5.729674
105,2.424792,-5.678368
106,2.312602,-5.609469
107,2.202106,-5.524821
108,2.093577,-5.426437
109,1.987248,-5.316443
110,1.884507,-5.137012
111,1.785500,-4.950387
112,1.690326,-4.758692
113,1.597848,-4.623892
114,1.508093,-4.487764
115,1.421054,-4.351950
116,1.339095,-4.097945
117,1.260956,-3.906988
118,1.186553,-3.720131
119,1.115789,-3.538237
120,1.048549,-3.361999
121,0.984710,-3.191952
122,0.925340,-2.968496
123,0.870304,-2.751766
124,0.819469,-2.541766
125,0.771501,-2.398387
126,0.726269,-2.261594
127,0.683644,-2.131300
128,0.643496,-2.007376
129,0.605703,-1.889657
130,0.570144,-1.777952
131,0.536703,-1.672053
132,0.505268,-1.571734
133,0.475733,-1.476765
134,0.447995,-1.386908
135,0.421956,-1.301922
136,0.397525,-1.221569
137,0.374613,-1.145613
138,0.353136,-1.073821
139,0.333017,-1.005967
140,0.315380,-0.881830
141,0.298961,-0.820973
142,0.283697,-0.763187
143,0.269531,-0.708269
144,0.256411,-0.656025
145,0.244286,-0.606266
146,0.233109,-0.558813
147,0.222840,-0.513490
148,0.213437,-0.470130
149,0.204866,-0.428571
150,0.197093,-0.388657
151,0.190088,-0.350237
152,0.183825,-0.313166
153,0.178278,-0.277302
154,0.173428,-0.242509
155,0.169255,-0.208653
156,0.165743,-0.175603
157,0.162879,-0.143233
158,0.160650,-0.111417
159,0.159050,-0.080033
160,0.158070,-0.048959
161,0.157709,-0.018075
162,0.157964,0.012740
163,0.157636,-0.016396
164,0.157924,0.014404
165,0.157629,-0.014740
166,0.157950,0.016059
167,0.157689,-0.013080
168,0.158043,0.017730
169,0.157816,-0.011390
170,0.158205,0.019445
171,0.158012,-0.009645
172,0.158436,0.021228
173,0.158280,-0.007817
174,0.158742,0.023108
175,0.158625,-0.005877
176,0.159127,0.025115
177,0.159051,-0.003796
178,0.159597,0.027278
179,0.159566,-0.001541
180,0.160159,0.029633
181,0.160177,0.000922
182,0.159621,-0.027786
183,0.159689,0.003399
184,0.159181,-0.025403
185,0.159295,0.005697
186,0.158831,-0.023182
187,0.158988,0.007850
188,0.158566,-0.021088
189,0.158764,0.009893
190,0.158383,-0.019088
191,0.158620,0.011857
192,0.158277,-0.017152
193,0.158552,0.013772
194,0.158247,-0.015250
195,0.158561,0.015669
196,0.158293,-0.013352
197,0.158645,0.017576
198,0.158416,-0.011429
199,0.158807,0.019523
